CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/amia/2000;AMIA 2000 American Medical Informatics Association Annual Symposium Los Angeles CA USA November 4-8 2000;AMIA;?;?;AMIA;2000;?
conf/amia/2001;AMIA 2001 American Medical Informatics Association Annual Symposium Washington DC USA November 3-7 2001;AMIA;?;?;AMIA;2001;?
conf/amia/2002;AMIA 2002 American Medical Informatics Association Annual Symposium San Antonio TX USA November 9-13 2002;AMIA;?;?;AMIA;2002;?
conf/amia/2003;AMIA 2003 American Medical Informatics Association Annual Symposium Washington DC USA November 8-12 2003;AMIA;?;?;AMIA;2003;?
conf/amia/2005;AMIA 2005 American Medical Informatics Association Annual Symposium Washington DC USA October 22-26 2005;AMIA;?;?;AMIA;2005;?
conf/amia/2006;AMIA 2006 American Medical Informatics Association Annual Symposium Washington DC USA November 11-15 2006;AMIA;?;?;AMIA;2006;?
conf/amia/2007;AMIA 2007 American Medical Informatics Association Annual Symposium Chicago IL USA November 10-14 2007;AMIA;?;?;AMIA;2007;?
conf/amia/2008;AMIA 2008 American Medical Informatics Association Annual Symposium Washington DC USA November 8-12 2008;AMIA;?;?;AMIA;2008;?
conf/amia/2009;AMIA 2009 American Medical Informatics Association Annual Symposium San Francisco CA USA November 14-18 2009;AMIA;?;?;AMIA;2009;?
conf/amia/2012;AMIA 2012 American Medical Informatics Association Annual Symposium Chicago Illinois USA November 3-7 2012;AMIA;?;?;AMIA;2012;?
conf/amia/2013;AMIA 2013 American Medical Informatics Association Annual Symposium Washington DC USA November 16-20 2013;AMIA;?;?;AMIA;2013;?
conf/amia/2014;AMIA 2014 American Medical Informatics Association Annual Symposium Washington DC USA November 15-19 2014;AMIA;?;?;AMIA;2014;?
conf/amia/2015;AMIA 2015 American Medical Informatics Association Annual Symposium San Francisco CA USA November 14-18 2015;AMIA;?;?;AMIA;2015;?
conf/amif/2008;Ambient Intelligence Perspectives - Selected Papers from the First International Ambient Intelligence Forum 2008 Hradec Králové Czech Republic 15-16 October 2008;AMIF;Ambient Intelligence and Smart Environments;1;IOS Press;2009;978-1-60750-388-0
conf/amif/2009;Ambient Intelligence Perspectives II - Selected Papers from the Second International Ambient Intelligence Forum 2009 Hradec Králové Czech Republic 16-17 September 2009;AMIF;Ambient Intelligence and Smart Environments;5;IOS Press;2009;978-1-60750-481-8
conf/amihealth/2015;Ambient Intelligence for Health - First International Conference AmIHEALTH 2015 Puerto Varas Chile December 1-4 2015 Proceedings;AmIHEALTH;Lecture Notes in Computer Science;9456;Springer;2015;978-3-319-26507-0
conf/amining/2003;Active Mining Second International Workshop AM 2003 Maebashi Japan October 28 2003 Revised Selected Papers;Active Mining;Lecture Notes in Computer Science;3430;Springer;2005;3-540-26157-5
conf/amire/2005;Proceedings of the 3rd International Symposium on Autonomous Minirobots for Research and Edutainment (AMiRE 2005) Awara-Spa Fukui Japan September 20-22 2005;AMiRE;?;?;Springer;2006;3-540-28496-6
conf/amkm/2003;Agent Mediated Knowledge Management International Symposium AMKM 2003 Stanford CA USA March 24-26 2003 Revised and Invited Papers;AMKM;Lecture Notes in Computer Science;2926;Springer;2004;3-540-20868-2
conf/amlta/2012;Advanced Machine Learning Technologies and Applications - First International Conference AMLTA 2012 Cairo Egypt December 8-10 2012. Proceedings;AMLTA;Communications in Computer and Information Science;322;Springer;2012;978-3-642-35325-3
conf/amlta/2014;Advanced Machine Learning Technologies and Applications - Second International Conference AMLTA 2014 Cairo Egypt November 28-30 2014. Proceedings;AMLTA;Communications in Computer and Information Science;488;Springer;2014;978-3-319-13460-4
conf/amma/2009;Auctions Market Mechanisms and Their Applications First International ICST Conference AMMA 2009 Boston MA USA May 8-9 2009 Revised Selected Papers;AMMA;Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering;14;Springer;2009;978-3-642-03820-4
conf/amma/2011;Auctions Market Mechanisms and Their Applications - Second International ICST Conference AMMA 2011 New York NY USA August 22-23 2011 Revised Selected Papers;AMMA;Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering;80;Springer;2012;978-3-642-30912-0
conf/ammds/2014;Activity Monitoring by Multiple Distributed Sensing - Second International Workshop AMMDS 2014 Stockholm Sweden August 24 2014 Revised Selected Papers;AMMDS;Lecture Notes in Computer Science;8703;Springer;2014;978-3-319-13322-5
conf/amost/2005;Proceedings of the ICSE 2005 Workshop on Advances in Model-Based Software Testing A-MOST 2005 St. Louis Missouri USA;A-MOST;?;?;ACM;2005;1-59593-115-5
conf/amost/2007;Proceedings of the 3rd Workshop on Advances in Model Based Testing A-MOST 2007 co-located with the ISSTA 2007 International Symposium on Software Testing and Analysis London United Kingdom July 9-12;A-MOST;?;?;ACM;2007;978-1-59593-850-3
conf/amr/2003; Adaptive Multimedia Retrieval: First International Workshop AMR 2003 Hamburg Germany September 15-16 2003 Revised Selected and Invited Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;3094;Springer;2004;3-540-22163-8
conf/amr/2005;Adaptive Multimedia Retrieval: User Context and Feedback Third International Workshop AMR 2005 Glasgow UK July 28-29 2005 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;3877;Springer;2006;3-540-32174-8
conf/amr/2006;Adaptive Multimedia Retrieval: User Context and Feedback 4th International Workshop AMR 2006 Geneva Switzerland July 27-28 2006 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;4398;Springer;2007;978-3-540-71544-3
conf/amr/2007;Adaptive Multimedial Retrieval: Retrieval User and Semantics 5th International Workshop AMR 2007 Paris France July 5-6 2007 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;4918;Springer;2008;978-3-540-79859-0
conf/amr/2008;Adaptive Multimedia Retrieval. Identifying Summarizing and Recommending Image and Music 6th International Workshop AMR 2008 Berlin Germany June 26-27 2008. Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;5811;Springer;2010;978-3-642-14757-9
conf/amr/2009;Adaptive Multimedia Retrieval. Understanding Media and Adapting to the User - 7th International Workshop AMR 2009 Madrid Spain September 24-25 2009 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;6535;Springer;2011;978-3-642-18448-2
conf/amr/2010;Adaptive Multimedia Retrieval. Context Exploration and Fusion - 8th International Workshop AMR 2010 Linz Austria August 17-18 2010 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;6817;Springer;2011;978-3-642-27168-7
conf/amr/2011;Adaptive Multimedia Retrieval. Large-Scale Multimedia Retrieval and Evaluation - 9th International Workshop AMR 2011 Barcelona Spain July 18-19 2011 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;7836;Springer;2013;978-3-642-37424-1
conf/amr/2012;Adaptive Multimedia Retrieval: Semantics Context and Adaptation 10th International Workshop AMR 2012 Copenhagen Denmark October 24-25 2012 Revised Selected Papers;Adaptive Multimedia Retrieval;Lecture Notes in Computer Science;8382;Springer;2014;978-3-319-12092-8
conf/ams/1995;Autonome Mobile Systeme 1995 11. Fachgespräch Karlsruhe 30. November - 1. Dezember 1995;AMS;Informatik Aktuell;?;Springer;1995;3-540-60657-2
conf/ams/1996;Autonome Mobile Systeme 1996 12. Fachgespräch München 14.-15. Oktober 1996;AMS;Informatik Aktuell;?;Springer;1996;3-540-61751-5
conf/ams/1997;Autonome Mobile Systeme 1997 13. Fachgespräch Stuttgart 6.-7. Oktober 1997;AMS;Informatik Aktuell;?;Springer;1997;3-540-63513-0
conf/ams/1998;Autonome Mobile Systeme 1998 14. Fachgespräch Karlsruhe 30. November - 1. Dezember 1998;AMS;Informatik Aktuell;?;Springer;1999;3-540-65192-6
conf/ams/1999;Autonome Mobile Systeme 1999 15. Fachgespräch München 26.-27. November 1999;AMS;Informatik Aktuell;?;Springer;2000;3-540-66732-6
conf/ams/2000;Autonome Mobile Systeme 2000 16. Fachgespräch Karlsruhe 20./21. November 2000;AMS;Informatik Aktuell;?;Springer;2000;3-540-41214-X
conf/ams/2001;Autonome Mobile Systeme 2001 17. Fachgespräch Stuttgart 11./12. Oktober 2001;AMS;Informatik Aktuell;?;Springer;2001;3-540-42552-7
conf/ams/2003;Autonome Mobile Systeme 2003 - 18. Fachgespräch Karlsruhe 4./5. Dezember 2003;AMS;Informatik Aktuell;?;Springer;2003;978-3-540-20142-7
conf/ams/2005;Autonome Mobile Systeme 2005 19. Fachgespräch Stuttgart 8./9. Dezember 2005;AMS;Informatik Aktuell;?;Springer;2006;978-3-540-30291-9
conf/ams/2007;Autonome Mobile Systeme 2007 20. Fachgespräch Kaiserslautern 18./19. Oktober 2007;AMS;Informatik Aktuell;?;Springer;2008;978-3-540-74763-5
